[DEBUG] 2022-10-02 13:32:52.508 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.cfg.beanvalidation.BeanValidationIntegrator].
[DEBUG] 2022-10-02 13:32:52.513 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.secure.spi.JaccIntegrator].
[DEBUG] 2022-10-02 13:32:52.515 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.cache.internal.CollectionCacheInvalidator].
[INFO ] 2022-10-02 13:32:52.567 [main] Version - HHH000412: Hibernate Core {5.4.4.Final}
[DEBUG] 2022-10-02 13:32:52.568 [main] Environment - HHH000206: hibernate.properties not found
[DEBUG] 2022-10-02 13:32:52.723 [main] LocalXmlResourceResolver - Interpreting public/system identifier : [-//Hibernate/Hibernate Configuration DTD//EN] - [http://www.hibernate.org/dtd/hibernate-configuration-3.0.dtd]
[DEBUG] 2022-10-02 13:32:52.724 [main] LocalXmlResourceResolver - Recognized hibernate-configuration identifier; attempting to resolve on classpath under org/hibernate/
[DEBUG] 2022-10-02 13:32:52.728 [main] JaxbCfgProcessor - cfg.xml document did not define namespaces; wrapping in custom event reader to introduce namespace information
[DEBUG] 2022-10-02 13:32:52.938 [main] ServiceBinding - Overriding existing service binding [org.hibernate.secure.spi.JaccService]
[DEBUG] 2022-10-02 13:32:52.954 [main] RegionFactoryInitiator - Cannot default RegionFactory based on registered strategies as `[]` RegionFactory strategies were registered
[DEBUG] 2022-10-02 13:32:52.955 [main] RegionFactoryInitiator - Cache region factory : org.hibernate.cache.internal.NoCachingRegionFactory
[INFO ] 2022-10-02 13:32:52.972 [main] Version - HCANN000001: Hibernate Commons Annotations {5.1.0.Final}
[DEBUG] 2022-10-02 13:32:52.996 [main] BasicTypeRegistry - Adding type registration boolean -> org.hibernate.type.BooleanType@43e1692f
[DEBUG] 2022-10-02 13:32:52.996 [main] BasicTypeRegistry - Adding type registration boolean -> org.hibernate.type.BooleanType@43e1692f
[DEBUG] 2022-10-02 13:32:52.996 [main] BasicTypeRegistry - Adding type registration java.lang.Boolean -> org.hibernate.type.BooleanType@43e1692f
[DEBUG] 2022-10-02 13:32:52.997 [main] BasicTypeRegistry - Adding type registration numeric_boolean -> org.hibernate.type.NumericBooleanType@44550792
[DEBUG] 2022-10-02 13:32:52.997 [main] BasicTypeRegistry - Adding type registration true_false -> org.hibernate.type.TrueFalseType@aa4d8cc
[DEBUG] 2022-10-02 13:32:52.998 [main] BasicTypeRegistry - Adding type registration yes_no -> org.hibernate.type.YesNoType@5c8e67b9
[DEBUG] 2022-10-02 13:32:52.998 [main] BasicTypeRegistry - Adding type registration byte -> org.hibernate.type.ByteType@615e3f51
[DEBUG] 2022-10-02 13:32:52.998 [main] BasicTypeRegistry - Adding type registration byte -> org.hibernate.type.ByteType@615e3f51
[DEBUG] 2022-10-02 13:32:52.998 [main] BasicTypeRegistry - Adding type registration java.lang.Byte -> org.hibernate.type.ByteType@615e3f51
[DEBUG] 2022-10-02 13:32:52.999 [main] BasicTypeRegistry - Adding type registration character -> org.hibernate.type.CharacterType@381d7219
[DEBUG] 2022-10-02 13:32:52.999 [main] BasicTypeRegistry - Adding type registration char -> org.hibernate.type.CharacterType@381d7219
[DEBUG] 2022-10-02 13:32:52.999 [main] BasicTypeRegistry - Adding type registration java.lang.Character -> org.hibernate.type.CharacterType@381d7219
[DEBUG] 2022-10-02 13:32:53.000 [main] BasicTypeRegistry - Adding type registration short -> org.hibernate.type.ShortType@2f66f0d0
[DEBUG] 2022-10-02 13:32:53.000 [main] BasicTypeRegistry - Adding type registration short -> org.hibernate.type.ShortType@2f66f0d0
[DEBUG] 2022-10-02 13:32:53.000 [main] BasicTypeRegistry - Adding type registration java.lang.Short -> org.hibernate.type.ShortType@2f66f0d0
[DEBUG] 2022-10-02 13:32:53.001 [main] BasicTypeRegistry - Adding type registration integer -> org.hibernate.type.IntegerType@10358c32
[DEBUG] 2022-10-02 13:32:53.001 [main] BasicTypeRegistry - Adding type registration int -> org.hibernate.type.IntegerType@10358c32
[DEBUG] 2022-10-02 13:32:53.001 [main] BasicTypeRegistry - Adding type registration java.lang.Integer -> org.hibernate.type.IntegerType@10358c32
[DEBUG] 2022-10-02 13:32:53.002 [main] BasicTypeRegistry - Adding type registration long -> org.hibernate.type.LongType@36c0d0bd
[DEBUG] 2022-10-02 13:32:53.002 [main] BasicTypeRegistry - Adding type registration long -> org.hibernate.type.LongType@36c0d0bd
[DEBUG] 2022-10-02 13:32:53.002 [main] BasicTypeRegistry - Adding type registration java.lang.Long -> org.hibernate.type.LongType@36c0d0bd
[DEBUG] 2022-10-02 13:32:53.003 [main] BasicTypeRegistry - Adding type registration float -> org.hibernate.type.FloatType@760245e1
[DEBUG] 2022-10-02 13:32:53.003 [main] BasicTypeRegistry - Adding type registration float -> org.hibernate.type.FloatType@760245e1
[DEBUG] 2022-10-02 13:32:53.003 [main] BasicTypeRegistry - Adding type registration java.lang.Float -> org.hibernate.type.FloatType@760245e1
[DEBUG] 2022-10-02 13:32:53.004 [main] BasicTypeRegistry - Adding type registration double -> org.hibernate.type.DoubleType@73d3e555
